event_id,start_year,end_year,date_display,era,event_name,event_kind,region_culture,location,peoples_factions,named_figures,historical_summary,possible_gameplay_hooks,likely_household_effects,severity_1_to_5,date_precision,canon_status,source_url_1,source_url_2,research_notes,event_category,game_scope,affected_systems,implementation_priority,research_confidence,research_pass
GENS-HIST-0013,-105,-105,105 BC,Late Republic,Battle of Arausio,War / Battle,Gallic / Roman,Arausio (Orange),Rome; Cimbri; Teutones,,A catastrophic Roman defeat intensified panic during the Cimbrian War.,Emergency levy; refugee flow; political blame.,Manpower; morale; security,5,exact,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/euw.html,,,Conflict & Security,Regional,Politics & Patronage; Military & Security; Settlement & Demographics,Critical,High,v1
GENS-HIST-0014,-102,-101,102–101 BC,Late Republic,Victories at Aquae Sextiae and Vercellae,War / Battle,Roman / Germanic,Southern Gaul; northern Italy,Rome; Teutones; Cimbri,Gaius Marius,Roman victories ended the Cimbrian threat.,Triumph celebrations; captives; veteran rewards; falling frontier panic.,Prestige; slaves; land grants; prices,4,range,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/euw.html,,,Conflict & Security,Regional,Economy & Finance; Military & Security; Settlement & Demographics; Construction & Estates,High,High,v1
GENS-HIST-0015,-100,-100,100 BC,Late Republic,Saturninus and Glaucia killed after political violence in Rome,Political Violence / Revolt,Roman,Rome,Popular faction; Senate; urban supporters,Lucius Appuleius Saturninus; Gaius Servilius Glaucia; Gaius Marius,"A violent political crisis ended with Saturninus, Glaucia, and followers trapped and killed after the Senate issued emergency measures.",Faction loyalty; mob violence; patron implicated in failed reform; emergency decree.,Political standing; legal danger; public order; patronage,4,exact,research_addition,https://www.livius.org/articles/person/lucius-appuleius-saturninus/,,,Conflict & Security,Imperial / Urban,Politics & Patronage; Legal & Court,High,Medium,v4
GENS-HIST-0016,-92,-92,92 BC,Late Republic,Rutilius Rufus convicted of extortion and goes into exile,Political Trial / Legal Scandal,Roman / Anatolian,Rome and Roman Asia,Senatorial juries; equestrian tax contractors; provincial elites,Publius Rutilius Rufus,The respected former governor Rutilius Rufus was convicted on an extortion charge widely remembered as unjust and chose exile in Asia.,Provincial corruption scandal; patron trial; juror pressure; exile and property management.,Courts; patronage; provincial taxation; reputation,3,exact,research_addition,https://www.cambridge.org/core/books/abs/cambridge-ancient-history/rome-and-italy-the-social-war/5C8B1F0D042D57DC293A0170B89D4B8F,,,Politics & Government,Imperial / Urban,Politics & Patronage; Economy & Finance; Legal & Court; Construction & Estates,Medium,Medium,v4
GENS-HIST-0017,-91,-88,91–88 BC,Late Republic,Social War,War / Revolt,Roman / Italic,Italy,Rome; Italian allies,,"Rome's Italian allies rebelled over citizenship, and broad enfranchisement followed.",Citizenship petitions; municipal reorganization; confiscation/reconciliation.,Legal status; taxes; voting rights; levies,5,range,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,,,Conflict & Security,Regional,Economy & Finance; Legal & Court; Military & Security,Critical,High,repo
GENS-HIST-0018,-90,-89,90–89 BC,Late Republic,Citizenship laws extend Roman status to Italian allies,Law / Citizenship,Roman / Italic,Italy,Roman state; allied communities,,The Lex Julia and related laws extended citizenship during the Social War.,Household status change; municipal transition; new civic duties.,Legal rights; taxation; office eligibility,4,range,research_addition,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,,,Law & Legal Status,Regional,Politics & Patronage; Economy & Finance; Legal & Court,High,High,v1
GENS-HIST-0019,-89,-63,89–63 BC,Late Republic,Mithridatic Wars,War,Greek East / Anatolian,"Anatolia, Greece, Black Sea",Rome; Pontus; allies,Mithridates VI; Sulla; Lucullus; Pompey,Three wars against Mithridates VI repeatedly destabilized the Greek East and Anatolia.,Requisitions; shifting loyalties; refugees; confiscations; war profits.,Trade; security; taxes; loyalty,5,range,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,https://82nd-and-fifth.metmuseum.org/toah/ht/05/waa.html,,Conflict & Security,Regional,Politics & Patronage; Economy & Finance; Legal & Court; Military & Security; Settlement & Demographics,Critical,High,repo
GENS-HIST-0020,-88,-88,88 BC,Late Republic,Asiatic Vespers: massacre of Romans and Italians in Asia,War / Massacre,Anatolian / Roman,Roman Asia,Mithridates VI; Greek and Anatolian cities; Roman and Italian residents,Mithridates VI,"During the First Mithridatic War, communities across Roman Asia killed large numbers of Roman and Italian residents under Mithridatic direction.",Household flight; debt records destroyed; confiscation; local collaborator choice; refugee arrival.,Population; property; debts; trade; ethnic tension,5,exact,research_addition,https://www.attalus.org/bc1/year88.html,,"Ancient casualty totals are highly uncertain and probably rhetorical; event severity is not dependent on accepting the reported 80,000 figure.",Conflict & Security,Regional,Economy & Finance; Legal & Court; Military & Security; Settlement & Demographics; Construction & Estates,Critical,High,v3
GENS-HIST-0021,-88,-88,88 BC,Late Republic,Sulla marches on Rome,Civil War / Coup,Roman,Rome,Sulla's forces; Marian faction,Lucius Cornelius Sulla; Gaius Marius,Sulla became the first Roman commander to seize Rome with his own army.,Allegiance choice; property seizure; political exile.,Dignitas; confiscation; survival,5,exact,research_addition,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,,,Conflict & Security,Imperial / Urban,Politics & Patronage; Legal & Court; Military & Security; Construction & Estates,Critical,High,v1
GENS-HIST-0022,-86,-86,86 BC,Late Republic,Sulla sacks Athens,War / Siege,Hellenic,Athens,Rome; Mithridatic-aligned Athens,Sulla,Sulla captured and sacked Athens during the First Mithridatic War.,Urban destruction; temple/property loss; art/loot flow to Italy.,Wealth loss; displaced population; luxury goods,5,exact,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/eusb.html,,,Conflict & Security,Local / Regional,Legal & Court; Religion; Military & Security; Settlement & Demographics; Construction & Estates; Culture & Education,Critical,High,v1
GENS-HIST-0023,-83,-82,83–82 BC,Late Republic,Sulla's second civil war,Civil War,Roman,Italy,Sullan; Marian factions,Sulla,Sulla returned from the East and defeated rival Roman factions.,Civil-war allegiance; requisition; veteran settlement.,Security; confiscation; loyalty,5,range,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,,,Conflict & Security,Regional,Politics & Patronage; Legal & Court; Military & Security; Settlement & Demographics,Critical,High,repo
GENS-HIST-0024,-82,-81,82–81 BC,Late Republic,Sullan proscriptions,Political Purge / Law,Roman,Rome and Italy,Sullan regime; proscribed elites,Sulla,Lists of condemned enemies enabled killings and confiscation of property.,Household member proscribed; asset seizure; bounty; patron rescue.,Property; heirs; political standing,5,range,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,,,Politics & Government,Imperial / Urban,Politics & Patronage; Legal & Court; Construction & Estates,Critical,High,repo
GENS-HIST-0025,-80,-72,80–72 BC,Late Republic,Sertorian War,War / Revolt,Iberian,Hispania,Rome; Sertorian coalition,Quintus Sertorius; Pompey; Metellus Pius,Sertorius sustained a long anti-Sullan resistance in Hispania.,Regional allegiance; irregular war; local autonomy; military requisition.,Security; trade; loyalty,4,range,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/04/eusi.html,,,Conflict & Security,Local / Regional,Politics & Patronage; Economy & Finance; Military & Security,High,High,v1
GENS-HIST-0026,-73,-71,73–71 BC,Late Republic,Third Servile War (Spartacus revolt),Slave Revolt / War,Roman / Thracian,Italy,Roman state; rebel enslaved people,Spartacus; Crassus; Pompey,A major slave uprising roamed Italy before being crushed.,Slave unrest; escape attempts; militia; price shocks in enslaved labor.,Labor; security; slave prices; morale,5,range,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,,,Conflict & Security,Regional,Economy & Finance; Military & Security; Construction & Estates,Critical,High,repo
GENS-HIST-0027,-70,-70,70 BC,Late Republic,Cicero prosecutes Verres for provincial extortion,Political Trial / Provincial Corruption,Roman / Sicilian,Rome and Sicily,Sicilian communities; senatorial courts; Roman governors,Cicero; Gaius Verres,The prosecution of former Sicilian governor Verres became a landmark public exposure of provincial exploitation.,Governor corruption evidence; provincial witnesses; patron prosecution; stolen art/property claims.,Courts; taxation; reputation; property,4,exact,research_addition,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.02.0081,,,Politics & Government,Imperial / Urban,Politics & Patronage; Economy & Finance; Legal & Court; Construction & Estates; Culture & Education,High,High,v4
GENS-HIST-0028,-70,-70,70 BC,Late Republic,Pompey and Crassus restore tribunician powers,Politics / Constitutional,Roman,Rome,Senate; tribunes; popular factions,Pompey; Crassus,Political changes reversed important Sullan restrictions on the tribunate.,Factional politics; legal access; popular agitation.,Political influence; court options,3,exact,research_addition,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,,,Politics & Government,Imperial / Urban,Politics & Patronage; Legal & Court,Medium,High,v1
GENS-HIST-0029,-67,-67,67 BC,Late Republic,Lex Gabinia grants Pompey extraordinary command against piracy,Law / Extraordinary Command,Roman / Mediterranean,Mediterranean,Roman state; pirate networks; merchants,Pompey; Aulus Gabinius,The Lex Gabinia gave Pompey unusually broad resources and authority to suppress piracy across the Mediterranean.,Emergency command debate; merchant lobbying; requisition; naval recruitment.,Shipping security; politics; taxes; military service,4,exact,research_addition,https://www.livius.org/articles/person/pompey/,,,Law & Legal Status,Regional,Politics & Patronage; Economy & Finance; Legal & Court; Military & Security; Travel & Trade Routes,High,High,v4
GENS-HIST-0030,-67,-67,67 BC,Late Republic,Pompey's campaign against Mediterranean piracy,War / Trade Security,Cilician / Mediterranean,Mediterranean Sea,Rome; Cilician and other pirate networks,Pompey,Extraordinary command powers were used to suppress large-scale piracy.,Shipping security swing; naval requisition; freed/captured pirates resettled.,Trade routes; grain price; travel risk,4,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,https://82nd-and-fifth.metmuseum.org/toah/ht/04/wae.html,,Conflict & Security,Local / Regional,Economy & Finance; Military & Security; Travel & Trade Routes,High,High,repo
GENS-HIST-0031,-66,-66,66 BC,Late Republic,Lex Manilia gives Pompey command against Mithridates,Law / Extraordinary Command,Roman / Anatolian,Eastern Mediterranean,Roman state; Pontus; Armenia; provincial elites,Pompey; Cicero; Mithridates VI,"The Lex Manilia transferred the eastern war command to Pompey, greatly expanding his political and military influence.",Commander change; patron realignment; eastern supply contracts; tax-farmer expectations.,Politics; military demand; trade; patronage,4,exact,research_addition,https://www.livius.org/articles/person/pompey/,,,Law & Legal Status,Regional,Politics & Patronage; Economy & Finance; Legal & Court; Military & Security,High,High,v4
GENS-HIST-0032,-64,-64,64 BC,Late Republic,Syria annexed as a Roman province,Administration / Expansion,Syrian / Levantine,Syria,Rome; Seleucid remnants,Pompey,Pompey ended Seleucid rule and incorporated Syria into Roman administration.,New governor; taxation; Roman contracts; elite realignment.,Tax; patronage; trade,4,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,https://82nd-and-fifth.metmuseum.org/toah/ht/04/wae.html,,Politics & Government,Regional,Politics & Patronage; Economy & Finance,High,High,repo
GENS-HIST-0033,-63,-63,63 BC,Late Republic,Catiline conspiracy,Political Conspiracy,Roman,Rome,Catilinarian conspirators; Senate,Cicero; Catiline,A conspiracy against the Roman state was exposed during Cicero's consulship.,Informant event; debt crisis; political purge; emergency decree.,Debt; loyalty; legal risk,4,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,,,Politics & Government,Imperial / Urban,Politics & Patronage; Legal & Court,High,High,repo
GENS-HIST-0034,-63,-63,63 BC,Late Republic,Pompey captures Jerusalem,War / Provincial Intervention,Judaean,Jerusalem,Rome; Hasmonean factions,Pompey,Roman intervention in a Hasmonean civil dispute culminated in Pompey's capture of Jerusalem.,Client-ruler politics; religious tension; tribute.,Regional loyalty; trade; taxation,4,exact,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/04/wae.html,,,Conflict & Security,Regional,Politics & Patronage; Economy & Finance; Religion; Military & Security,High,High,v1
GENS-HIST-0035,-60,-60,60 BC,Late Republic,First Triumvirate formed,Political Alliance,Roman,Rome,Caesar; Pompey; Crassus,Julius Caesar; Pompey; Crassus,An informal political alliance coordinated the interests of three dominant Roman leaders.,Patron alignment; contract favoritism; electoral pressure.,Dignitas; offices; patronage,4,approximate,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,,,Politics & Government,Imperial / Urban,Politics & Patronage; Economy & Finance,High,Medium,repo
GENS-HIST-0036,-59,-59,59 BC,Late Republic,Caesar's agrarian laws distribute land to citizens and Pompeian veterans,Law / Land Reform,Roman,Italy,Roman state; veterans; landowners; urban citizens,Julius Caesar; Pompey,"Caesar's consulship produced agrarian legislation funding land purchases and distributing land, including provisions benefiting Pompey's veterans.",Estate purchase offer; compulsory political pressure; veteran neighbors; land-price movement.,Land values; tenancy; veteran settlement; political loyalty,4,exact,research_addition,https://www.cambridge.org/core/books/abs/cambridge-ancient-history/caesar-pompey-and-rome-5950-bc/500414D8A569BD20A0C077A8E3524700,,,Law & Legal Status,Regional,Politics & Patronage; Economy & Finance; Legal & Court; Settlement & Demographics; Construction & Estates,High,High,v3
GENS-HIST-0037,-58,-58,58 BC,Late Republic,Clodius makes Rome's grain distribution free,Economy / Grain Welfare,Roman,Rome,Urban plebs; Roman treasury; grain suppliers,Publius Clodius Pulcher,"Clodius's legislation converted subsidized grain into free distributions for registered beneficiaries, greatly increasing the political and fiscal importance of the urban grain dole.",Household qualifies for free grain; beneficiary roll dispute; merchant margins shift; political loyalty around food supply.,Food expenses; treasury; urban politics; grain trade,5,exact,research_addition,https://www.cambridge.org/core/journals/harvard-theological-review/article/abs/foreign-groups-in-rome-during-the-first-centuries-of-the-empire/4F646AA56AB50983315DAF571EEC9972,,,Economy & Trade,Imperial / Urban,Politics & Patronage; Economy & Finance; Settlement & Demographics,Critical,High,v5
GENS-HIST-0038,-58,-58,58 BC,Late Republic,Cyprus annexed by Rome,Administration / Expansion,Cypriot,Cyprus,Rome; Ptolemaic Cyprus,Cato the Younger,Rome annexed Cyprus and transferred its treasury.,Property/treasury redistribution; new tax administration.,Trade; taxation; elite turnover,3,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,,,Politics & Government,Local / Regional,Economy & Finance; Legal & Court; Construction & Estates,Medium,High,repo
GENS-HIST-0039,-58,-50,58–50 BC,Late Republic,Gallic Wars,War / Expansion,Gallic,Gaul,Rome; multiple Gallic peoples,Julius Caesar,Caesar's campaigns conquered most of Gaul and transformed Roman politics and wealth.,Levy; slave influx; loot; land settlement; collaboration/resistance.,Trade; slavery; security; prestige,5,range,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,https://82nd-and-fifth.metmuseum.org/toah/ht/05/euw.html,,Conflict & Security,Regional,Economy & Finance; Military & Security; Settlement & Demographics; Construction & Estates,Critical,High,repo
GENS-HIST-0040,-55,-55,55 BC,Late Republic,Pompey's Theatre opens,Infrastructure / Culture,Roman,Rome,Roman public,Pompey,Rome's first permanent stone theater became a major civic and political venue.,Festival/event venue; prestige projects; patronage competition.,Urban prestige; entertainment; commerce,2,exact,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/eust.html,,,Religion & Culture,Imperial / Urban,Politics & Patronage; Economy & Finance; Religion; Settlement & Demographics; Culture & Education,Flavor,High,v1
GENS-HIST-0041,-53,-53,53 BC,Late Republic,Battle of Carrhae,War / Battle,Parthian,Carrhae,Rome; Parthia,Crassus; Surena,A Roman invasion of Parthia ended in catastrophic defeat and Crassus's death.,Eastern trade anxiety; prisoner stories; military prestige shock.,Security; political stability; trade,5,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,https://resources.metmuseum.org/resources/metpublications/pdf/The_World_between_Empires_Art_and_Identity_in_the_Ancient_Middle_East.pdf,,Conflict & Security,Regional,Politics & Patronage; Economy & Finance; Military & Security,Critical,High,repo
GENS-HIST-0042,-52,-52,52 BC,Late Republic,Vercingetorix's revolt and Siege of Alesia,War / Revolt,Gallic,Alesia,Rome; Gallic coalition,Julius Caesar; Vercingetorix,A broad Gallic revolt culminated in Caesar's decisive victory at Alesia.,Local resistance; hostages; confiscations; veteran rewards.,Security; land; loyalty,5,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,https://82nd-and-fifth.metmuseum.org/toah/ht/05/euw.html,,Conflict & Security,Regional,Politics & Patronage; Legal & Court; Military & Security; Settlement & Demographics; Construction & Estates,Critical,High,repo
GENS-HIST-0043,-49,-49,49 BC,Late Republic,Caesar crosses the Rubicon,Civil War,Roman,Rubicon / Italy,Caesarian; Pompeian factions,Julius Caesar; Pompey,"Caesar entered Italy under arms, beginning civil war.",Immediate allegiance choice; flight from Rome; asset protection.,Security; political standing; property,5,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,,,Conflict & Security,Regional,Politics & Patronage; Legal & Court; Military & Security; Construction & Estates,Critical,High,repo
GENS-HIST-0044,-48,-48,48 BC,Late Republic,Battle of Pharsalus,Civil War / Battle,Roman,"Pharsalus, Greece",Caesar; Pompey,Julius Caesar; Pompey,"Caesar defeated Pompey's main army, reshaping the civil war.",Faction collapse; pardons/proscriptions; refugee elites.,Loyalty; offices; confiscation,5,exact,research_addition,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,,,Conflict & Security,Regional,Politics & Patronage; Legal & Court; Military & Security; Settlement & Demographics,Critical,High,v1
GENS-HIST-0045,-48,-47,48–47 BC,Late Republic,Alexandrian War,Civil War / Foreign Intervention,Egyptian,Alexandria,Caesar; Ptolemaic factions,Julius Caesar; Cleopatra VII; Ptolemy XIII,Caesar became embroiled in the Ptolemaic succession conflict in Egypt.,Grain supply uncertainty; court patronage; urban fighting.,Grain prices; trade; political connections,4,range,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/04/afe.html,,,Conflict & Security,Regional,Politics & Patronage; Economy & Finance; Legal & Court; Military & Security; Settlement & Demographics,High,High,v1
GENS-HIST-0046,-46,-46,46 BC,Late Republic,Battle of Thapsus,Civil War / Battle,Roman / North African,Thapsus,Caesarians; Pompeian Republicans,Julius Caesar; Cato; Metellus Scipio,Caesar defeated remaining Republican forces in North Africa.,Confiscation; veterans; North African political reset.,Property; patronage; regional security,4,exact,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/afw.html,,,Conflict & Security,Regional,Politics & Patronage; Legal & Court; Military & Security; Construction & Estates,High,High,v1
GENS-HIST-0047,-46,-45,46–45 BC,Late Republic,Julian calendar reform,Knowledge / Calendar Reform,Roman,Empire-wide,Roman state; priests; merchants; courts,Julius Caesar; Sosigenes,Caesar overhauled the Roman calendar; 46 BC was greatly lengthened and the reformed Julian calendar began in 45 BC.,Calendar conversion; contract-date confusion; festival rescheduling; accounting-year adjustment.,Contracts; festivals; agriculture planning; administration,4,range,research_addition,https://academic.oup.com/edited-volume/43505/chapter/364127569,https://www.livius.org/sources/content/plutarch/plutarchs-caesar/caesars-calendar-reform/,,Knowledge & Culture,Imperial,Religion; Culture & Education,High,High,v3
GENS-HIST-0048,-46,-44,46–44 BC,Late Republic,Caesar reduces the Rome grain dole and expands overseas colonies,Administration / Social Policy,Roman / Mediterranean,Rome and colonial foundations,Urban plebs; veterans; colonists; provincial communities,Julius Caesar,"Caesar used a census to reduce the number receiving subsidized grain and sponsored large-scale colonial settlement, including revived foundations overseas.",Grain-roll eligibility review; forced/voluntary resettlement; colonial land grant; urban population pressure relief.,Food support; migration; land; patronage; citizenship,4,range,research_addition,"https://en.wikisource.org/wiki/Page:Roman_Constitutional_History,_753-44_B.C..djvu/289",,Source is an older constitutional history; individual colonial foundation dates should receive separate primary-source verification in a later pass.,Politics & Government,Imperial / Urban,Politics & Patronage; Economy & Finance; Legal & Court; Settlement & Demographics; Travel & Trade Routes; Construction & Estates,High,Medium,v3
