slug,name,canonical_family,entity_type,parent_slug,parent_resolution,parent_or_related,relationship_to_parent,presentation_level,adoption_scope,religious_relation_class,theology_model,integration_model,organization_scale,core_tenets,flavor_tags,mechanic_flags,implementation_mode,implementation_readiness,gens_priority,start_year,start_label,end_year,end_label,emergence_band,active_133_bc,active_ad_1,active_ad_235,active_ad_395,active_ad_476,active_ad_565,origin_region,core_regions_during_game,cultures_peoples,key_deities_or_figures,holy_sites_or_centers,authority_model,exclusivity,historical_confidence,attestation_class,historical_label_caution,classification,ck3_role,repo_status,catalog_scope,gameplay_hooks,historical_notes,source_repo,source_history_1,source_history_2,final_pass_status,final_pass_note
south-arabian-religion,South Arabian Religion,Arabian,Religion / base tradition,,Base/contact layer: no parent required,Ancient South Arabian polytheisms,Base / independent / unresolved relationship,Full Faith,Household/community primary religion,Broadly compatible,Polytheist / plural cult system,Additive / syncretic,State / civic institution,Syncretic,Civic; Astral; Syncretic,Syncretism; Commerce/travel; Local civic standing,Primary religion/community state,Ready for content design,Tier 2 — Major regional,,Ancient; pre-133 BC,500,Declines as Judaism/Christianity rise in Himyar/Aksum sphere,Pre-game / ancient,Y,Y,Y,Y,Y,N,Yemen / Arabia Felix,"Saba, Himyar, Hadramawt",South Arabian peoples,"Almaqah, Athtar and regional deities",Ma’rib and regional temples,Temple/civic priesthoods,Communal,High,Well attested,,Ethnic / civic polytheism,Base faith,New CK3-style expansion,Religion / branch,"Arabia Felix trade, incense economy, Judaism/Christianity transition",Important for promoted/future Arabia Felix starts.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Ancient_South_Arabian_religion,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
himyarite-rahmanan-monotheism,Himyarite Rahmanan Monotheism,Arabian / South Arabian Monotheism,Religion / base tradition,south-arabian-religion,Explicit alias match,South Arabian Religion + Jewish influence,Related tradition,Full Faith,Household/community primary religion,Context-dependent,Henotheist / monotheizing,Partially exclusive / transitional,State / civic institution,Syncretic; Exclusive; State-Sponsored; Deliberately-Syncretic,Exclusive-leaning; State-Sponsored; Monotheizing; Deliberately-Syncretic-adjacent,Priesthood; Syncretism; Doctrine suppression,Primary religion/community state,Ready for content design,Tier 2 — Major regional,380,Royal inscriptions shift toward Rahmanan and monotheizing language in the late fourth century,525,Superseded amid Jewish/Christian political-religious conflict and Aksumite intervention,AD 236–395,N,N,N,Y,Y,N,Himyar / Yemen,South Arabia,Himyarite elites and subjects,Rahmanan ('the Merciful'); Lord of Heaven; Jewish-influenced monotheistic language,Royal inscriptions and South Arabian cult centers,Royal state patronage,Partially exclusive / monotheizing,High,Well attested,,Late antique monotheizing royal religion,State monotheism / transition,State conversion; diplomacy between Rome/Aksum/Iran; Jewish influence; temple decline,Religion / branch,Modern scholarship cautions against flattening fourth–fifth-century Himyar immediately into simple rabbinic Judaism; a transitional monotheizing row is useful.,https://www.cambridge.org/core/books/preislamic-arabia/late-antique-kingdoms-conversion/BEAD070C637374A79F9A47C7399A01CF,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-cultures-of-the-known-world-design.md,https://www.cambridge.org/core/journals/modern-asian-studies/article/rahman-before-muhammad-a-prehistory-of-the-first-peace-sulh-in-islam/280B60BFF68749648057202B29C7C8F0,,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
armenian-religion,Armenian Religion,Armenian / Caucasian,Religion / base tradition,,Base/contact layer: no parent required,Iranian + local Armenian + Hellenic syncretism,Base / independent / unresolved relationship,Full Faith,Household/community primary religion,Broadly compatible,Polytheist / plural cult system,Additive / syncretic,State / civic institution,Syncretic; State-Sponsored; Fire-Venerating,Syncretic; Fire-Venerating; State-Sponsored,Priesthood; Syncretism,Primary religion/community state,Ready for content design,Tier 2 — Major regional,,Ancient; pre-133 BC,350,Christianity becomes royal religion in early 4th c.; pagan survivals,Pre-game / ancient,Y,Y,Y,N,N,N,Armenian Highlands,Armenia,Armenians,"Aramazd, Anahit, Vahagn and local deities",Artashat-region temples; local sanctuaries,Royal/local priesthoods,Additive,High,Well attested,,Ethnic / state polytheism,Base faith,Core named faith in existing catalog,Religion / branch,"Armenian-Iranian diplomacy, conversion, noble resistance",Strong Iranian influence without simply being Zoroastrianism.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Armenian_mythology,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
cult-of-anahit,Cult of Anahit,Armenian / Caucasian,Cult / devotion,armenian-religion,Normalized alias match: Armenian Religion,Armenian Religion,Cult or devotion within/alongside parent,Cult Overlay,Personal or household additive devotion,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,State / civic institution,Syncretic; State-Sponsored; Fire-Venerating,Fire-Venerating-adjacent; Syncretic; State-Sponsored (locally); Fertility,Priesthood; Syncretism,Overlay system,Ready for content design,Tier 2 — Major regional,,Pre-Christian Armenian cult with strong Iranian ancestry,315,Major pagan sanctuaries are attacked/dismantled during Armenia's Christianization,Pre-game / ancient,Y,Y,Y,N,N,N,Armenia,Armenian highlands,Armenian kingdoms and temple communities,Anahit,Erez/Eriza and other Armenian temples,Royal-supported temple priesthood,Additive,High,Well attested,,Major Armenian goddess cult,Major local cult,Royal pilgrimage; fertility; treasury-rich temple; Christianization conflict,Cult / devotion layer,One of the best-attested major deities of pre-Christian Armenia and especially important for conversion-era events.,https://www.iranicaonline.org/articles/anahid/anahid-ii-the-cult-and-its-diffusion/,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-cultures-of-the-known-world-design.md,https://www.iranicaonline.org/articles/armenia-iii/,,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
cult-of-bendis,Cult of Bendis,Balkan,Cult / devotion,thracian-religion,Normalized alias match: Thracian Religion,Thracian Religion,Cult or devotion within/alongside parent,Cult Overlay,Personal or household additive devotion,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,Local / regional cult institution,Syncretic,Syncretic; Local-Cult; Festival,Sacred calendar; Syncretism,Overlay system,Ready for event/light content,Tier 3 — Enrichment,,Pre-133 BC; cult is already established in Classical Athens and continues in Thracian contexts,350,Later imperial continuity is regionally variable and increasingly syncretic,Pre-game / ancient,Y,Y,Y,N,N,N,Thrace / Aegean,Thrace and selected Greek urban contexts,Thracians; Greek worshippers in diaspora cult associations,"Bendis, often represented with Artemis-like attributes",Thracian cult sites; Piraeus had a famous earlier public cult,Local cult associations and priesthoods,Additive / syncretic,Medium–High,Moderately attested,,Thracian goddess cult with Greek diaspora expression,Local / diaspora cult,Final-pass expansion,Cult / devotion layer,Thracian identity; festival; diaspora cult; Greek-Thracian syncretism,The Roman-period evidence is strongly syncretic; avoid presenting Bendis as a uniform empire-wide cult.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://academic.oup.com/edited-volume/61673/chapter-abstract/548510317,https://journals.phil.muni.cz/graeco-latina-brunensia/article/view/26744,Added in finalized pass,Final bounded gap-fill added after repo and historical cross-check.
dacian-zalmoxian-religion,Dacian / Zalmoxian Religion,Balkan,Regional branch,,No single parent resolved,Dacian regional religion,Base / independent / unresolved relationship,Regional Faith,Household/community primary religion in supported regions,Broadly compatible,Polytheist / plural cult system,Additive / syncretic,Diffuse / decentralized,Syncretic; Martial-Coded,Martial-Coded; Immortality; Syncretic,Priesthood; Syncretism; Military affinity,Primary religion/community state,Ready for content design,Tier 2 — Major regional,,Ancient; pre-133 BC,400,Romanization/Christianization after conquest,Pre-game / ancient,Y,Y,Y,Y,N,N,Dacia,Carpathian-Danubian region,Dacians/Getae,Zalmoxis; Gebeleizis (attestation debated),Mountain/sacred sites in Dacia,Local priestly elites,Communal,Medium,Moderately attested,Surviving evidence is limited or reconstruction is debated.,Ethnic / regional religion,Base faith,Core named faith in existing catalog,Religion / branch,"Elite priesthood, immortality beliefs, Dacian identity",Zalmoxis is the strongest literary anchor; details remain contested.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Zalmoxis,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
illyrian-pannonian-tradition,Illyrian / Pannonian Tradition,Balkan,Regional branch,,No single parent resolved,Indigenous Balkan religions,Base / independent / unresolved relationship,Regional Faith,Household/community primary religion in supported regions,Broadly compatible,Polytheist / plural cult system,Additive / syncretic,Diffuse / decentralized,Syncretic; Martial-Coded; Thin-Record,Martial-Coded; Syncretic; Thin-Record,Syncretism; Military affinity,Primary religion/community state,Research-limited — light mechanics,Tier 3 — Enrichment,,Ancient; pre-133 BC,450,Romanized/Christianized gradually,Pre-game / ancient,Y,Y,Y,Y,N,N,Western Balkans / Pannonia,"Illyria, Dalmatia, Pannonia","Illyrians, Pannonians",Regional/local deities,Local sanctuaries,Local ritual specialists,Additive,Low–Medium,Thin / reconstructed,Surviving evidence is limited or reconstruction is debated.,Ethnic / regional polytheism,Base faith,Core named faith in existing catalog,Religion / branch,"Frontier identity, military recruitment, local cult integration",Explicitly flagged Thin-Record in the repo.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Illyrian_religion,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
thracian-religion,Thracian Religion,Balkan,Regional branch,,No single parent resolved,Thracian regional cults,Base / independent / unresolved relationship,Regional Faith,Household/community primary religion in supported regions,Broadly compatible,Polytheist / plural cult system,Additive / syncretic,Local / regional cult institution,Syncretic; Martial-Coded,Martial-Coded; Syncretic,Syncretism; Military affinity,Primary religion/community state,Ready for content design,Tier 2 — Major regional,,Ancient; pre-133 BC,450,Romanized/Christianized gradually,Pre-game / ancient,Y,Y,Y,Y,N,N,Thrace,Balkans / Thrace,Thracians,Thracian Horseman; local deities,Votive relief sites and local sanctuaries,Local priesthoods,Additive,Medium–High,Moderately attested,Surviving evidence is limited or reconstruction is debated.,Ethnic / regional polytheism,Base faith,Core named faith in existing catalog,Religion / branch,"Horseman cult, hunting, frontier elites",Large body of Thracian Horseman reliefs supports a distinct gameplay identity.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Thracian_religion,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
cult-of-the-thracian-horseman,Cult of the Thracian Horseman,Balkan,Cult / devotion,thracian-religion,Normalized alias match: Thracian Religion,Thracian Religion,Cult or devotion within/alongside parent,Cult Overlay,Personal or household additive devotion,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,Household,Syncretic; Martial-Coded,Syncretic; Martial-Coded; Hero-Cult; Funerary,Syncretism; Military affinity; Provincial identity; Funerary/ancestor systems,Overlay system,Ready for content design,Tier 2 — Major regional,-100,Hellenistic antecedents; enormous expansion in the Roman imperial period,400,Declines/transforms under Christianization of the Balkans,133 BC–AD 235,N,Y,Y,Y,N,N,Thrace,"Thrace, Moesia and western Black Sea hinterlands",Thracians and Roman provincial communities,The 'Thracian Horseman' / Heros; multiple local epithets,Hundreds of votive/funerary monuments and multiple Thracian sanctuaries,Local sanctuaries and household/funerary cult networks,Additive / syncretic,High,Well attested,,Thracian-Roman hero/deity cult complex,Major regional cult,Final-pass expansion,Cult / devotion layer,Hunting; cavalry; ancestor/funerary events; provincial identity; local sanctuaries,The repo already uses the Horseman to anchor Thracian religion; splitting the cult out makes that anchor mechanically usable.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://scholar.lib.vt.edu/ejournals/ElAnt/V11N1/chiekova.html,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,Added in finalized pass,Final bounded gap-fill added after repo and historical cross-check.
cult-of-the-danubian-riders,Cult of the Danubian Riders,Balkan,Mystery cult,illyrian-pannonian-tradition,Normalized alias match: Illyrian / Pannonian Tradition,Illyrian / Pannonian Tradition + Thracian/Danubian provincial cults,Cult or devotion within/alongside parent,Mystery Membership,Individual initiatory membership,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,Diffuse / decentralized,Syncretic; Initiatory; Martial-Coded; Thin-Record,Syncretic; Initiatory-adjacent; Martial-Coded; Thin-Record,Initiation; Syncretism; Military affinity,Overlay system,Research-limited — light mechanics,Tier 2 — Major regional,150,Appears primarily in Roman Danubian provinces from the second century AD,400,Main evidence belongs to the second–fourth centuries,133 BC–AD 235,N,N,Y,Y,N,N,Roman Danube,"Pannonia, Moesia, Dacia and neighboring Danubian provinces",Danubian provincials; soldiers and local communities,Paired riders and central goddess imagery; exact theology uncertain,Distributed Danubian relief/icon cult sites,Decentralized cult groups,Additive / syncretic,Medium,Thin / reconstructed,"Surviving evidence is limited; avoid over-specific doctrines, pantheons or institutions.",Danubian syncretic mystery-like cult phenomenon,Mystery / provincial cult,Final-pass expansion,Cult / devotion layer,Danube military culture; mystery iconography; local shrines; soldier networks,"A real second–fourth-century Danubian phenomenon, but its name, theology and degree of initiation remain debated; keep mechanics light.",https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://ai.ac.rs/en/kult-podunavskih-konjanika-u-rimskim-p/,https://www.cambridge.org/core/journals/slavic-review/article/abs/dioscuri-in-the-balkans/6A60D50D1E65D19FF8A61CC548F8279F,Added in finalized pass,Final bounded gap-fill added after repo and historical cross-check.
